CaCO3	TOC	d13Ccarb	d18Ocarb	age_MY
59.4	0.63	1.59	-4.01	0
58.2	0.8	1.48	-3.96	0.00223802
55.9	0.54	1.63	-3.83	0.006613475
53.6	0.71	1.63	-3.69	0.010259687
54.3	0.76	1.83	-3.85	0.014157362
55.6	0.92	1.85	-3.84	0.016646845
53.4	1.18	1.93	-4.16	0.018935157
54.7	1.76	1.83	-4.44	0.021952712
54.3	1.77	1.77	-4.35	0.025121145
49.6	1.79	1.47	-4.69	0.02766092
48.9	0.84	1.48	-4.15	0.029421161
55.2	0.63	1.52	-4.25	0.034425273
54.6	0.41	1.52	-4.05	0.039353946
56.8	0.7	1.6	-4.06	0.042597817
58.9	0.91	1.79	-4.24	0.045062154
57.2	1.59	1.64	-4.36	0.04868322
58	2.12	1.07	-4.87	0.051298434
50.4	0.8	1.2	-4.43	0.054693184
58.6	0.86	1.19	-4.27	0.058867468
55.5	0.96	1.31	-4.29	0.06231251
47	2.49	1.22	-4.26	0.0633938
57.4	2.17	1.64	-3.95	0.064399652
55.6	1.58	1.27	-4.29	0.067266329
54.3	1.26	1.17	-4.35	0.068020718
56.6	1.27	1.12	-4.31	0.069730666
64.2	1.4	1.03	-4.18	0.07478507
64.5	1.09	1.37	-3.93	0.077274553
54.5	1.4	1.55	-4.09	0.083033054
56.3	1.22	1.77	-3.9	0.084365807
53.1	1.21	1.7	-4.14	0.085044757
47.1	1.16	1.66	-4.11	0.086729559
51.3	1.39	1.74	-3.87	0.087282777
55.8	1.18	1.63	-4.18	0.088967579
58.2	0.94	1.73	-4.03	0.091582793
62	1.02	1.8	-3.87	0.091758817
66.1	0.72	1.05	-3.92	0.095203859
67.1	1.42	1.67	-4.09	0.099000949
53.7	1.04	1.79	-4.34	0.103150087
57.2	1.46	1.93	-3.86	0.110467658
58.8	0.81	1.77	-3.94	0.117483473
57	1.38	1.86	-3.83	0.123166535
53	0.94	1.98	-3.03	0.127718014
53.1	1.1	1.94	-3.72	0.132043176
61.4	1.1	1.94	-4.02	0.137424482
55.6	2.28	2.26	-3.62	0.146502293
57.3	2.34	1.77	-4.11	0.148136802
55.2	2.5	1.29	-4.63	0.149771311
51.4	0.79	1.19	-4.18	0.153543255
54.1	1.57	1.23	-3.74	0.156535663
57.3	1.78	1.28	-3.83	0.159
